Well_ID,BRO-ID,Filter,Date,Nitrate,Chloride,Oxygen,Temperature,Acidity,geometry
GMW000000050691,GAR000000052509,1,1991-04-17T12:00:00+02:00,,200.0,,,,POINT (3.570373677 51.339600757)
GMW000000050691,GAR000000052543,2,1996-07-02T12:00:00+02:00,,12317.0,,,,POINT (3.570373677 51.339600757)
GMW000000050691,GAR000000052612,1,1991-11-28T11:00:00+01:00,,220.0,,,,POINT (3.570373677 51.339600757)
GMW000000050705,GAR000000055646,1,1991-11-28T11:00:00+01:00,,114.0,,,,POINT (3.642430278 51.373427796)
GMW000000050705,GAR000000055682,2,1989-06-08T12:00:00+02:00,,17485.0,,,,POINT (3.642430278 51.373427796)
GMW000000050705,GAR000000055737,1,1989-05-02T12:00:00+02:00,,285.0,,,,POINT (3.642430278 51.373427796)
GMW000000050705,GAR000000055750,2,1990-04-02T12:00:00+02:00,,17940.0,,,,POINT (3.642430278 51.373427796)
GMW000000050705,GAR000000055824,1,1994-06-20T12:00:00+02:00,,615.0,,,,POINT (3.642430278 51.373427796)
GMW000000050705,GAR000000055854,2,1989-05-02T12:00:00+02:00,,1825.0,,,,POINT (3.642430278 51.373427796)
GMW000000050705,GAR000000055859,1,1989-11-28T11:00:00+01:00,,1290.0,,,,POINT (3.642430278 51.373427796)
GMW000000050705,GAR000000055863,2,1990-08-27T12:00:00+02:00,,18025.0,,,,POINT (3.642430278 51.373427796)
GMW000000050705,GAR000000055922,2,1991-11-28T11:00:00+01:00,,20448.0,,,,POINT (3.642430278 51.373427796)
GMW000000050705,GAR000000055927,1,1990-08-27T12:00:00+02:00,,1310.0,,,,POINT (3.642430278 51.373427796)
GMW000000050705,GAR000000055933,1,1986-11-06T11:00:00+01:00,,1661.0,,,,POINT (3.642430278 51.373427796)
GMW000000050705,GAR000000056013,2,1988-05-02T12:00:00+02:00,,17785.0,,,,POINT (3.642430278 51.373427796)
